"No.","Time","Source","Destination","Protocol","Length","Info"
"315","2022-09-28 13:07:50.035791","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"316","2022-09-28 13:07:50.035792","csweb1.cs.uchicago.edu","10.152.5.30","TLSv1.2","1221","Application Data"
"317","2022-09-28 13:07:50.035871","10.152.5.30","csweb1.cs.uchicago.edu","TCP","54","56064 > 443 [ACK] Seq=5258 Ack=298285 Win=262144 Len=0"
"318","2022-09-28 13:07:50.035912","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"319","2022-09-28 13:07:50.035914","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"320","2022-09-28 13:07:50.035916","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"321","2022-09-28 13:07:50.035917","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"322","2022-09-28 13:07:50.035918","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"323","2022-09-28 13:07:50.035954","10.152.5.30","csweb1.cs.uchicago.edu","TCP","54","56064 > 443 [ACK] Seq=5258 Ack=302443 Win=257984 Len=0"
"324","2022-09-28 13:07:50.035969","10.152.5.30","csweb1.cs.uchicago.edu","TCP","54","56064 > 443 [ACK] Seq=5258 Ack=305215 Win=262144 Len=0"
"325","2022-09-28 13:07:50.039711","csweb1.cs.uchicago.edu","10.152.5.30","TLSv1.2","1372","Application Data"
"326","2022-09-28 13:07:50.039715","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"327","2022-09-28 13:07:50.039716","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"328","2022-09-28 13:07:50.039717","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"329","2022-09-28 13:07:50.039719","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"330","2022-09-28 13:07:50.039720","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"331","2022-09-28 13:07:50.039721","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"332","2022-09-28 13:07:50.039722","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"333","2022-09-28 13:07:50.039723","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"334","2022-09-28 13:07:50.039724","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"335","2022-09-28 13:07:50.039725","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"336","2022-09-28 13:07:50.039727","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"337","2022-09-28 13:07:50.039728","csweb1.cs.uchicago.edu","10.152.5.30","TLSv1.2","1221","Application Data"
"338","2022-09-28 13:07:50.039729","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
